CLAVE UR,SERIE,BN CARTA,BN OFICIO,BN DC,COLOR CARTA,COLOR OFICIO,ENVIAR,COPIAR
UR-00D,JPBCP3106K,0,0,0,0,0,0,0
UR-142,JPBCP3106R,376,0,0,719,0,0,0
UR-00D,JPBCP3106V,0,0,0,0,0,0,0
UR-00D,JPBCP3106Z,0,0,0,0,0,0,0
UR-310,JPBCP3Q1HH,12,0,0,150,0,0,0
UR-00D,JPBCP3Q1HL,0,0,0,0,0,0,0
UR-00D,JPBCP3Q1HN,0,0,0,0,0,0,0
UR-00D,JPBCP3Q1HZ,0,0,0,0,0,0,0
UR-00D,JPBCP3Q1J3,0,0,0,0,0,0,0
UR-311,JPBCP3Q1JC,25,0,0,1138,0,0,0
UR-118,JPBCP3Q1JF,35,0,0,570,0,0,0
UR-00D,JPBCP3Q1JH,0,0,0,0,0,0,0
UR-00D,JPBCP3Q1JJ,0,0,0,0,0,0,0
UR-00D,JPBCP3Q1JM,0,0,0,0,0,0,0
UR-00D,JPBCP3Q1JY,0,0,0,0,0,0,0
UR-00D,JPBCP3Q1JZ,0,0,0,0,0,0,0
UR-00D,JPBCP441FR,0,0,0,0,0,0,0
UR-00D,JPBCP441G8,0,0,0,0,0,0,0
UR-00D,JPBCP4X0H2,0,0,0,0,0,0,0
UR-00D,JPBCP4X0HQ,0,0,0,0,0,0,0
UR-00D,JPBCP4X0J4,0,0,0,0,0,0,0
UR-137,JPBCP4X1FY,66,0,0,17,0,0,0
UR-00D,JPBCP4X1HH,0,0,0,0,0,0,0
UR-136,JPBCP4X1J8,43,0,0,254,0,0,0
UR-127,JPBCP4X1KK,110,0,0,6,0,0,0
UR-133,JPBCP4X1KN,117,0,0,619,15,0,0
UR-134,JPBCP4X1KX,28,0,0,45,0,0,0
UR-135,JPBCP4X1L0,205,0,0,142,0,0,0
UR-00D,JPBCP4X1LC,0,0,0,0,0,0,0
UR-00D,JPBCP4X1LX,0,0,0,0,0,0,0
UR-00D,MXSC15KG4J,0,0,0,0,0,0,0
UR-00D,MXSC15KG4P,0,0,0,0,0,0,0
UR-00D,MXSC185GSM,0,0,0,0,0,0,0
UR-00D,MXSC185GUM,0,0,0,0,0,0,0
UR-00D,MXSC185GV0,0,0,0,0,0,0,0
UR-00D,MXSC185GVM,0,0,0,0,0,0,0
UR-00D,MXSC185GY2,0,0,0,0,0,0,0
UR-00D,MXSC185H3T,0,0,0,0,0,0,0
UR-00D,MXSC189GXX,0,0,0,0,0,0,0
UR-00D,MXSC189GZ8,0,0,0,0,0,0,0
UR-00D,MXSC189H20,0,0,0,0,0,0,0
UR-00D,MXSC189H3D,0,0,0,0,0,0,0
UR-00D,MXSC189H45,0,0,0,0,0,0,0
UR-00D,MXSC189H4J,0,0,0,0,0,0,0
UR-00D,MXSC189HAD,0,0,0,0,0,0,0
UR-00D,MXSC18AGFR,0,0,0,0,0,0,0
UR-00D,MXSCMCJ06Q,0,0,0,0,0,0,0
UR-00D,MXSCMCJ077,0,0,0,0,0,0,0
UR-00D,MXSCMCJ07D,0,0,0,0,0,0,0
UR-00D,MXSCMCJ0CQ,0,0,0,0,0,0,0
UR-00D,MXSCMCJ0CZ,0,0,0,0,0,0,0
UR-00D,MXSCMCJ0FF,0,0,0,0,0,0,0
UR-700,MXSCMCJ0FJ,110,0,0,0,0,1149,20
UR-311,MXSCMCJ0FV,585,0,0,0,0,6,12
UR-514,MXSCMCJ0FZ,213,0,0,0,0,28,35
UR-311,MXSCMCJ0GN,4,0,0,0,0,0,0
